AGENTE,FECHA,FECHA_IDX,gen_mes,comp_bols_mes,comp_cont_mes,comp_recon_mes,demanda_real_mes,comp_cont_reg_mes,vent_cont_SICEP_mes,vent_cont_no_reg_mes,vent_cont_ener_mes,precio_bolsa_mes,precio_prom_cont_reg_mes,precio_prom_cont_no_reg_mes,pandemia,ONI,PANDEMIA,Demanda_UPME,EXP_BOLSA
EPSC,2010-01-01,1.0,0.0,-0.4413213131537282,0.2084002491920435,0.0,0.20721650293224247,0.2523255128211909,0.0,0.12429501328069896,0.0,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
EPSG,2010-01-01,1.0,0.16028721442776384,0.46559726895987075,-2.1457481889250145,0.30708407959065015,0.09565131628138013,0.0,-0.6182980223930648,-2.1457481889250145,0.11600349552454739,-0.2449674037090637,-0.4876158012703581,-0.5105903660404301,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.6969163460630187
ESSC,2010-01-01,1.0,0.0,0.31815303629352865,0.26004687424746525,0.0,0.2613869797217443,0.2479668780799951,0.0,1.644134117201988,3.9955580705995555,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.20094081486453
GASC,2010-01-01,1.0,0.0,0.5791846016992547,0.3603897815413666,0.0,0.0,0.0,-0.6509955781350976,0.3603897815413666,0.3708749294323766,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.00018784330889632124
GECC,2010-01-01,1.0,0.0,-0.46943308459399224,0.5225849759086458,0.0,0.49779792188719635,0.0,0.0,0.5225849759086458,0.0,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
GECG,2010-01-01,1.0,0.27557952169953476,-0.5794385964205416,-1.1691148207375892,0.23864878509849066,-0.18539354393184462,0.0,-0.5299347387591872,-1.1691148207375892,0.20711924707377757,-0.2470016781189402,-0.48788563345407676,-0.5103258620203234,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.008965825899972333
GNCC,2010-01-01,1.0,0.0,0.3610872180946514,0.14923292171006128,0.0,0.10351768479780273,-0.06103765134911878,-0.24938637900281208,0.24949987045869026,0.24859260807608913,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.15171303800606195
HIMG,2010-01-01,1.0,0.5481910901940918,0.3272490474685612,0.5909283157611119,0.4554970431988246,0.09736106798814305,0.0,-0.4379054888226429,0.5909283157611119,0.45741668796555013,-0.24666167242464485,-0.487652712135784,-0.5106145214814615,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.21813720878784298
ISGC,2010-01-01,1.0,0.0,5.050552138674789,0.22747236552197814,0.0,0.23296826270360776,0.0,0.0,0.23154230716025037,0.0,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,1.371031296718231e-05
ISGG,2010-01-01,1.0,0.13988149408777928,0.2733292455666729,-0.41329369120230486,0.3296856366708762,-0.05788942815515493,0.0,-0.6428368204689063,-0.41329369120230486,0.02641185550127456,-0.24326666923761542,-0.4874209964250967,-0.5103577265463171,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.23426717751935386
NTCG,2010-01-01,1.0,0.40164992986275533,-0.8989714707431156,-0.9189262066728836,-1.246925856292022,-0.6350260701288646,0.0,-0.6340559037889156,-0.9189262066728836,-0.9102816335746765,-0.22315965585711384,-0.4870556144342284,-0.5088023868466804,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
